Longitude,Latitude,Altitude,Slope,Curve,Speed,EC_DP,Red,IR,Moisture,Soil_Temp_C
-111.711215,33.0817516,386.4,1.4887,0.0025,4.25,278.36,385.46,1253.75,26.45,19.21
-111.711195,33.0817516,386.5,1.4735,0.0016,4.26,281.85,384.1,1252.19,26.22,19.28
-111.7111734,33.0817516,386.5,1.4567,0.0005,4.25,287.68,382.04,1248.83,26.05,19.35
-111.7111534,33.0817516,386.5,1.4344,0.0006,4.24,290.97,379.88,1245.1,26,19.36
-111.7111333,33.0817516,386.4,1.42,-0.0006,4.22,290.11,377.95,1242.08,26.07,19.32
-111.7111134,33.08175,386.4,1.4109,-0.0018,4.21,287,376.99,1240.69,26.22,19.25
-111.7110917,33.08175,386.3,1.3981,-0.0034,4.2,284.65,377.66,1241.07,26.44,19.16
-111.7110717,33.08175,386.4,1.3881,-0.0049,4.2,285.13,379.32,1242.51,26.65,19.13
-111.71105,33.08175,386.4,1.3863,-0.0067,4.2,287.38,381.02,1244.61,26.83,19.13
-111.71103,33.08175,386.4,1.3814,-0.0083,4.2,289.17,381.88,1246.62,26.94,19.15
-111.71101,33.08175,386.5,1.3759,-0.01,4.2,290.08,382.33,1248.19,27,19.16
-111.7109884,33.08175,386.5,1.3751,-0.0111,4.2,289.97,382.95,1248.64,27.01,19.17
-111.7109683,33.08175,386.5,1.379,-0.0124,4.2,286.95,383.29,1246.7,26.98,19.18
-111.7109483,33.08175,386.6,1.3853,-0.0135,4.22,279.95,382.79,1242.32,26.93,19.19
-111.7109268,33.08175,386.6,1.3945,-0.0144,4.24,269.5,381.21,1236.33,26.9,19.21
-111.7109067,33.08175,386.5,1.4086,-0.0166,4.28,263.83,379.64,1232,26.91,19.24
-111.710885,33.0817516,386.5,1.4197,-0.0169,4.34,268.23,378.93,1230.2,26.96,19.28
-111.7108634,33.0817516,386.4,1.4334,-0.0165,4.4,281,379.24,1230.53,27.07,19.32
-111.7108417,33.0817516,386.4,1.44,-0.0183,4.45,290.3,379.85,1230.77,27.21,19.33
-111.71082,33.0817516,386.4,1.4527,-0.0183,4.48,285.69,380.23,1229.64,27.35,19.31
-111.7107984,33.08175,386.4,1.4679,-0.0181,4.51,269.09,380.53,1227.63,27.47,19.26
-111.7107766,33.08175,386.4,1.4769,-0.0185,4.54,252.86,381.18,1226.13,27.56,19.23
-111.7107534,33.08175,386.4,1.4856,-0.0198,4.56,247.61,382.53,1226.22,27.58,19.21
-111.7107317,33.0817516,386.4,1.4822,-0.0214,4.58,254.46,383.91,1226.71,27.51,19.22
-111.7107084,33.08175,386.5,1.4796,-0.0228,4.6,268.43,384.05,1225.19,27.35,19.25
-111.7106867,33.0817516,386.5,1.4604,-0.0252,4.62,285.28,382.18,1221.46,27.14,19.28
-111.7106634,33.0817516,386.5,1.4421,-0.0277,4.64,307.34,378.88,1217.78,26.85,19.27
-111.71064,33.0817516,386.5,1.4185,-0.0302,4.66,329.35,376.16,1217.78,26.54,19.22
-111.7106183,33.0817516,386.5,1.3925,-0.0324,4.68,339.52,375.45,1221.98,26.26,19.16
-111.7105967,33.0817516,386.5,1.3664,-0.0332,4.69,332.37,376.65,1229.16,26.02,19.13
-111.7105734,33.08175,386.4,1.3345,-0.0334,4.71,308.41,379.2,1238.03,25.84,19.14
-111.7105517,33.08175,386.3,1.2987,-0.0337,4.73,286.55,381.35,1245.08,25.73,19.18
-111.710505,33.08175,386.4,1.2132,-0.031,4.85,288.91,382.89,1251.22,25.68,19.29
-111.71048,33.0817516,386.4,1.1692,-0.0288,4.94,287.54,384.76,1251.51,25.74,19.3
-111.710455,33.0817516,386.5,1.1316,-0.0255,5.03,277.93,387.14,1251.25,25.81,19.33
-111.7104318,33.0817516,386.6,1.1032,-0.0223,5.1,271.81,388.17,1250.92,25.88,19.37
-111.7104067,33.0817533,386.6,1.0739,-0.0188,5.16,269.73,386.96,1251.4,25.94,19.4
-111.71038,33.0817533,386.6,1.0481,-0.0156,5.2,268.46,384.61,1253.24,25.96,19.39
-111.710355,33.081755,386.6,1.0318,-0.0109,5.23,266.62,383.71,1254.01,25.96,19.36
-111.7103284,33.0817566,386.6,1.0233,-0.0088,5.26,266.14,383.71,1251.79,25.94,19.32
-111.7103034,33.0817566,386.5,1.0232,-0.0078,5.27,268.63,382.6,1248.06,25.93,19.3
-111.7102766,33.0817566,386.5,1.0279,-0.0082,5.25,283.46,380.65,1245.1,25.96,19.29
-111.7102517,33.0817566,386.5,1.0429,-0.0102,5.19,317.4,380.35,1244.54,26.02,19.28
-111.7102268,33.0817566,386.5,1.0552,-0.0132,5.07,369.66,382.08,1245.86,26.13,19.3
-111.7101783,33.0817566,386.5,1.0837,-0.0224,4.77,444.45,385.68,1250.32,26.5,19.39
-111.7101567,33.0817566,386.5,1.1012,-0.0264,4.67,440.31,385.19,1251.46,26.62,19.42
-111.7101134,33.0817566,386.6,1.1448,-0.0343,4.58,368.16,380.21,1250.14,26.72,19.46
-111.7100916,33.0817583,386.6,1.1625,-0.0361,4.6,319.03,378.02,1247.82,26.69,19.51
-111.7100684,33.0817583,386.5,1.182,-0.036,4.65,284.94,377.43,1245.26,26.62,19.59
-111.7100467,33.08176,386.5,1.1986,-0.0354,4.71,279.93,377.96,1242.85,26.52,19.67
-111.7100217,33.08176,386.5,1.2213,-0.0327,4.78,304.41,378.43,1239.76,26.42,19.76
-111.7099984,33.08176,386.4,1.2411,-0.0293,4.83,348.34,377.98,1236.36,26.37,19.82
-111.7099267,33.0817633,386.4,1.2795,-0.0194,4.94,544.99,379.3,1225.4,26.9,19.63
-111.7099034,33.0817633,386.5,1.2817,-0.0171,4.95,536.95,379.45,1224.45,27.06,19.59
-111.70988,33.081765,386.4,1.2775,-0.0157,4.96,511.86,379.42,1225.01,27.2,19.56
-111.709855,33.081765,386.5,1.274,-0.0144,4.97,480.06,379.49,1226.11,27.34,19.54
-111.70983,33.081765,386.5,1.2666,-0.0138,4.99,451.96,379.56,1225.86,27.42,19.53
-111.709805,33.0817666,386.5,1.2519,-0.0144,4.99,431.59,378.29,1223.75,27.44,19.51
-111.709755,33.0817666,386.6,1.2182,-0.0166,4.93,422.48,371.64,1214.63,27.27,19.53
-111.7097083,33.0817683,386.8,1.1738,-0.0204,4.78,434.67,374.54,1203.07,27.01,19.56
-111.7096866,33.0817683,386.8,1.1536,-0.0223,4.74,455.47,376.92,1202.1,26.9,19.55
-111.7096634,33.0817683,386.8,1.1315,-0.0243,4.72,478.8,378.56,1205.29,26.8,19.52
-111.7096416,33.0817683,386.8,1.1093,-0.0263,4.71,485.77,378.36,1209.54,26.71,19.49
-111.709595,33.0817683,386.9,1.062,-0.0305,4.72,425.33,373.61,1209.77,26.62,19.42
-111.7095717,33.08177,386.9,1.0362,-0.0326,4.74,405.44,373.5,1208.7,26.67,19.39
-111.7095483,33.08177,386.9,1.013,-0.0343,4.76,413.29,374.54,1208.28,26.74,19.36
