Longitude,Latitude,Field,Dataset,Product,Obj. Id,Time,Duration(s),Area Count,Elevation(ft),Swth Wdth(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Con(T)(gal(US)/h),Track(deg),Hrv Mass W(lb),Crop Flw(M)(lb/s),Moisture(%),Pass Num,Crop Flw(V)(bu/h),Yld Mass(Wet)(lb/ac),Yld_Mass_Dry_lb_ac,Yld Vol(Wet)(bu/ac),Yld Vol(Dry)(bu/ac),Prod(ac/h),Date
-111.7101691,33.08227057,Azule 1,TaskName 6/10/2024,Wheat (Durum),2625,6/10/2024,1,On,1293.4,10.97,14.52,3.817,5.699,12.96,90.23,9.102,9.115,6.8,4,546.89,6349.8,6349.8,105.83,105.83,5.168,6/10/2024
-111.7101505,33.08227023,Azule 1,TaskName 6/10/2024,Wheat (Durum),2626,6/10/2024,1.001,On,1293.4,10.97,14.52,3.838,5.712,12.48,90.33,8.374,9.109,6.8,4,546.57,6337.8,6337.8,105.63,105.63,5.174,6/10/2024
-111.7101317,33.08227066,Azule 1,TaskName 6/10/2024,Wheat (Durum),2627,6/10/2024,1,On,1293.4,10.97,14.52,3.957,5.742,13.25,89.65,8.08,8.323,6.8,4,499.39,5755.3,5755.3,95.92,95.92,5.206,6/10/2024
-111.7101129,33.08227035,Azule 1,TaskName 6/10/2024,Wheat (Durum),2628,6/10/2024,1,On,1293.4,10.97,14.52,3.945,5.755,12.37,90.23,7.79,8.078,6.8,4,484.67,5572.9,5572.9,92.88,92.88,5.218,6/10/2024
-111.7100942,33.08227075,Azule 1,TaskName 6/10/2024,Wheat (Durum),2629,6/10/2024,0.999,On,1293.3,10.97,14.52,3.933,5.739,11.93,89.63,8.351,7.771,6.88,4,466.25,5371,5371,89.52,89.52,5.209,6/10/2024
-111.7100756,33.08227071,Azule 1,TaskName 6/10/2024,Wheat (Durum),2630,6/10/2024,1,On,1293.4,10.97,14.52,3.871,5.69,13.11,89.93,7.893,8.399,6.9,4,503.95,5861.4,5861.4,97.69,97.69,5.159,6/10/2024
-111.7100568,33.08227071,Azule 1,TaskName 6/10/2024,Wheat (Durum),2631,6/10/2024,1.001,On,1293.4,10.97,14.52,3.861,5.778,12.55,90,8.625,7.889,6.9,4,473.36,5426.6,5426.6,90.44,90.44,5.234,6/10/2024
-111.7100381,33.08227083,Azule 1,TaskName 6/10/2024,Wheat (Durum),2632,6/10/2024,0.999,On,1293.4,10.97,14.52,3.918,5.742,12.79,89.65,7.801,8.655,6.9,4,519.27,5978.4,5978.4,99.64,99.64,5.211,6/10/2024
-111.7100197,33.0822708,Azule 1,TaskName 6/10/2024,Wheat (Durum),2633,6/10/2024,1,On,1293.4,10.97,14.52,3.932,5.634,12.93,89.98,7.241,7.724,6.9,4,463.45,5443.7,5443.7,90.73,90.73,5.108,6/10/2024
-111.7100009,33.0822708,Azule 1,TaskName 6/10/2024,Wheat (Durum),2634,6/10/2024,0.996,On,1293.3,10.97,14.52,3.869,5.752,12.52,90.05,7.121,7.235,6.9,4,434.13,4974.6,4974.6,82.91,82.91,5.236,6/10/2024
-111.7099823,33.08227066,Azule 1,TaskName 6/10/2024,Wheat (Durum),2635,6/10/2024,1,On,1293.4,10.97,14.52,3.909,5.696,11.94,90.3,7.512,7.117,6.9,4,427.01,4960.7,4960.7,82.68,82.68,5.165,6/10/2024
-111.7099634,33.0822706,Azule 1,TaskName 6/10/2024,Wheat (Durum),2636,6/10/2024,1.005,On,1293.3,10.97,14.52,3.978,5.817,12.51,90.27,7.725,7.575,6.9,4,454.48,5195.6,5195.6,86.59,86.59,5.248,6/10/2024
-111.7099448,33.0822707,Azule 1,TaskName 6/10/2024,Wheat (Durum),2637,6/10/2024,0.999,On,1293.4,10.97,14.52,3.817,5.69,12.49,89.95,7.628,7.694,6.98,4,461.65,5364,5364,89.4,89.4,5.164,6/10/2024
-111.7099261,33.0822709,Azule 1,TaskName 6/10/2024,Wheat (Durum),2638,6/10/2024,1,On,1293.4,10.97,14.52,3.899,5.735,11.88,89.73,8.551,7.624,7.08,4,457.43,5277.7,5277.7,87.96,87.96,5.2,6/10/2024
-111.7099074,33.08227084,Azule 1,TaskName 6/10/2024,Wheat (Durum),2639,6/10/2024,1,On,1293.4,10.97,14.52,3.928,5.719,12.57,90.02,8.18,8.612,7.1,4,516.72,5978.9,5978.9,99.65,99.65,5.185,6/10/2024
-111.7098887,33.08227097,Azule 1,TaskName 6/10/2024,Wheat (Durum),2640,6/10/2024,1,On,1293.4,10.97,14.52,3.916,5.742,12.01,89.96,6.94,8.141,7.1,4,488.48,5629.5,5629.5,93.82,93.82,5.206,6/10/2024
-111.7098702,33.08227048,Azule 1,TaskName 6/10/2024,Wheat (Durum),2641,6/10/2024,1,On,1293.5,10.97,14.52,3.818,5.67,12.83,90.41,6.751,6.904,7.1,4,414.26,4834.9,4834.9,80.58,80.58,5.141,6/10/2024
-111.7098509,33.08227072,Azule 1,TaskName 6/10/2024,Wheat (Durum),2642,6/10/2024,1,On,1293.5,10.97,14.52,3.985,5.906,13.39,90.02,7.952,6.725,7.1,4,403.5,4520.9,4520.9,75.35,75.35,5.355,6/10/2024
